Language,lang_name,Wiki,type
English,English,en,manually
Spanish,español,es,manually
French,français,fr,manually
German,Deutsch,de,manually
Chinese,中文,zh,manually
Russian,русский,ru,manually
Portuguese,português,pt,manually
Italian,italiano,it,manually
Arabic,العربية,ar,manually
Japanese,日本語,ja,manually
Turkish,Türkçe,tr,manually
Indonesian,Bahasa Indonesia,id,manually
Dutch,Nederlands,nl,manually
Polish,polski,pl,manually
Persian,فارسی,fa,manually
Swedish,svenska,sv,manually
Vietnamese,Tiếng Việt,vi,manually
Korean,한국어,ko,manually
Romanian,română,ro,manually
Norwegian (Bokmål),norsk,no,manually
Czech,čeština,cs,manually
Ukrainian,українська,uk,manually
Finnish,suomi,fi,manually
Hungarian,magyar,hu,manually
Hebrew,עברית,he,manually
Hindi,हिन्दी,hi,manually
Danish,dansk,da,manually
Thai,ไทย,th,manually
Catalan,català,ca,manually
Greek,Ελληνικά,el,manually
Bulgarian,български,bg,manually
Serbian,српски / srpski,sr,manually
Malay,Bahasa Melayu,ms,manually
Croatian,hrvatski,hr,manually
Bengali,বাংলা,bn,manually
Slovenian,slovenščina,sl,manually
Slovak,slovenčina,sk,manually